# Note - You may enter notes about your run here. \u00a0They will be displayed every time this log is loaded.
# Graph Data - 7 Sessions - Saved Wednesday, May 25, 2011
# Start Of Session - Sample Time: 0.500
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.6833      , 60.000      , 23.84       , 0.596       , 23.7        , 108.6       , 62246       
1.6833      , 58.824      , 23.84       , 0.596       , 21.9        , 111.3       , 62821       
1.6833      , 56.863      , 23.84       , 0.596       , 20.1        , 110.4       , 63014       
1.6833      , 55.686      , 23.84       , 0.596       , 20.1        , 110.4       , 62821       
1.6833      , 55.294      , 23.69       , 0.596       , 20.1        , 110.4       , 62246       
1.6833      , 55.294      , 23.69       , 0.447       , 20.1        , 110.4       , 62246       
1.6833      , 56.471      , 23.84       , 0.745       , 21.0        , 110.4       , 61869       
1.6833      , 58.039      , 23.69       , 0.745       , 21.9        , 110.4       , 61869       
1.6833      , 59.608      , 23.84       , 0.596       , 22.8        , 111.3       , 61682       
1.6833      , 60.392      , 23.84       , 0.745       , 24.6        , 110.4       , 61869       
1.6833      , 61.569      , 23.84       , 0.596       , 24.6        , 111.3       , 62057       
1.6833      , 61.176      , 23.84       , 0.745       , 24.6        , 110.4       , 62628       
1.6833      , 61.176      , 23.84       , 0.745       , 23.7        , 111.3       , 62436       
1.6833      , 61.176      , 23.69       , 0.745       , 23.7        , 111.3       , 62436       
1.6833      , 60.392      , 23.84       , 0.596       , 23.7        , 110.4       , 62628       
1.6833      , 59.608      , 23.69       , 0.596       , 23.7        , 111.3       , 62628       
1.6833      , 60.000      , 23.69       , 0.596       , 22.8        , 111.3       , 62057       
1.6833      , 61.569      , 23.84       , 0.745       , 25.5        , 111.3       , 61869       
1.6833      , 65.490      , 23.84       , 0.894       , 28.3        , 115.1       , 60945       
1.6833      , 69.412      , 23.84       , 0.894       , 33.7        , 108.6       , 61311       
1.6833      , 70.588      , 23.84       , 0.894       , 34.6        , 110.4       , 62057       
1.6833      , 69.412      , 23.84       , 0.745       , 31.9        , 110.4       , 62821       
1.6833      , 68.235      , 23.84       , 0.745       , 30.1        , 110.4       , 62628       
1.6833      , 67.451      , 23.84       , 0.596       , 29.2        , 111.3       , 62628       
